id,ime_in_priimek,državljanstvo,ocena,potencial,starost,iskanja,klub
41,Iniesta,Spain,81,81,36,34,Vissel Kobe
1179,Gianluigi Buffon,Italy,82,82,42,17,Juventus
2147,Maarten Stekelenburg,Netherlands,72,72,38,1,Ajax
3281,Tarantini,Portugal,72,72,37,0,Rio Ave FC
3467,Yuri,Brazil,71,71,38,0,SD Ponferradina
9014,Arjen Robben,Netherlands,80,80,36,8,FC Groningen
18122,Nicolas Penneteau,France,73,73,39,0,Sporting Charleroi
20775,Quaresma,Portugal,79,79,37,12,Vitória Guimarães
20801,Cristiano Ronaldo,Portugal,92,92,35,143,Juventus
24630,Pepe Reina,Spain,79,79,38,1,Lazio
25798,Roque Santa Cruz,Paraguay,73,73,39,3,Club Olimpia
41236,Zlatan Ibrahimović,Sweden,83,83,39,90,Milan
45186,Joaquín,Spain,80,80,39,3,Real Betis Balompié
47201,Silvio Proto,Belgium,75,75,37,0,Lazio
48745,Fabricio Coloccini,Argentina,71,71,38,1,San Lorenzo de Almagro
49000,Allan McGregor,Scotland,74,74,38,0,Rangers FC
49472,Ludovic Butelle,France,71,71,37,0,Angers SCO
50542,Jermain Defoe,England,73,73,38,3,Rangers FC
53914,Phil Jagielka,England,72,72,38,3,Sheffield United
54050,Wayne Rooney,England,77,77,35,24,Derby County
104389,Rune Almenning Jarstein,Norway,77,77,36,1,Hertha Berlin
105846,Artur Boruc,Poland,73,73,40,3,Legia Warszawa
107298,Yohann Pelé,France,73,73,37,1,Olympique de Marseille
110381,Maximiliano Rodríguez,Argentina,74,74,39,0,Newell's Old Boys
110677,Moyá,Spain,78,78,36,2,Real Sociedad
110974,Riesgo,Spain,71,71,37,0,CD Leganés
113045,Mauricio Pinilla,Chile,71,71,36,1,Coquimbo Unido
115909,Rubén Castro,Spain,71,71,39,1,FC Cartagena
120533,Pepe,Portugal,81,81,37,11,FC Porto
121134,Alexander Walke,Germany,71,71,37,0,FC Red Bull Salzburg
122849,Arouna Koné,Ivory Coast,71,71,36,0,Demir Grup Sivasspor
124375,Burak Yılmaz,Turkey,78,78,35,7,LOSC Lille
124635,Mehmet Topal,Turkey,74,74,34,0,İstanbul Başakşehir FK
125871,Hasan Ali Kaldırım,Turkey,75,75,30,1,İstanbul Başakşehir FK
132740,Jesper Hansen,Denmark,76,76,35,1,FC Midtjylland
134744,Atiba Hutchinson,Canada,76,76,37,5,Beşiktaş JK
134779,Jimmy Briand,France,74,74,35,0,FC Girondins de Bordeaux
134820,Scott Brown,Scotland,75,75,35,1,Celtic
135190,Michael Liendl,Austria,73,73,35,0,RZ Pellets Wolfsberger AC
135507,Fernandinho,Brazil,84,84,35,11,Manchester City
136113,Wes Morgan,Jamaica,73,73,36,2,Leicester City
137494,Obafemi Martins,Nigeria,75,75,35,3,Wuhan Zall Professional FC
137506,Goran Pandev,North Macedonia,72,72,37,1,Genoa
138110,Bruno Alves,Portugal,72,72,38,5,Parma
138412,James Milner,England,80,80,34,11,Liverpool
138798,Germán Lux,Argentina,72,72,38,1,River Plate
138949,Antolín Alcáraz,Paraguay,72,72,38,1,Club Olimpia
138956,Giorgio Chiellini,Italy,87,87,36,14,Juventus
139062,Willy Caballero,Argentina,75,75,39,7,Chelsea
139064,Leonardo Ponzio,Argentina,73,73,38,3,River Plate
139068,Nani,Portugal,80,80,33,7,Orlando City Soccer Club
139313,Christian Fuchs,Austria,73,73,34,2,Leicester City
139668,Federico Marchetti,Italy,71,71,37,2,Genoa
139799,Santiago Silva,Uruguay,72,72,39,0,Argentinos Juniors
139860,Jérémy Morel,Madagascar,74,74,36,0,FC Lorient
140067,Julio Cáceres,Paraguay,71,71,41,2,Club Olimpia
140082,Rafael,Brazil,73,73,38,0,La Spezia
140233,Guillermo Ochoa,Mexico,79,79,35,13,Club América
140293,Antonio Mirante,Italy,78,78,37,2,Roma
140498,David Marshall,Scotland,72,72,35,2,Derby County
140620,Ragnar Klavan,Estonia,74,74,34,1,Cagliari
141286,Krisztián Vadócz,Hungary,71,71,35,0,Club Atlético Peñarol
142258,Sammy Bossut,Belgium,72,72,35,0,SV Zulte Waregem
142499,Aitor Sanz,Spain,71,71,36,0,CD Tenerife
142707,Lisandro López,Argentina,78,78,37,1,Racing Club
142754,Javier Mascherano,Argentina,79,79,36,7,Estudiantes de La Plata
142762,Jonathan Bottinelli,Argentina,71,71,36,1,Rosario Central
142902,Andriy Pyatov,Ukraine,76,76,36,1,Shakhtar Donetsk
142966,Jesús Dátolo,Argentina,73,73,36,0,Banfield
143001,Carlos Tévez,Argentina,78,78,36,3,Boca Juniors
143025,Emiliano Papa,Argentina,71,71,38,0,Arsenal de Sarandí
143076,Alejandro Gómez,Argentina,86,86,32,21,Atalanta
143121,José Sosa,Argentina,78,78,35,6,Fenerbahçe SK
143587,Fernando Belluschi,Argentina,71,71,37,0,Club Atlético Lanús
143598,Luciano Pocrnjic,Argentina,71,71,39,0,Club Atlético Aldosivi
143699,Gökhan Gönül,Turkey,76,76,35,3,Fenerbahçe SK
143745,Arda Turan,Turkey,74,74,33,5,Galatasaray SK
144172,Serkan Kırıntılı,Turkey,75,75,35,1,Konyaspor
144200,Eren Albayrak,Turkey,72,72,29,0,Antalyaspor
144429,Oscar Wendt,Sweden,75,75,35,0,Borussia Mönchengladbach
146111,Mikel Rico,Spain,73,73,35,0,SD Huesca
146296,Andrés Fernández,Spain,77,77,33,0,SD Huesca
