igralec,polozaj
41,CAM
41,CM
1179,GK
2147,GK
3281,CDM
3281,CM
3467,ST
9014,CAM
9014,RM
18122,GK
20775,LM
20775,RM
20801,LW
20801,ST
24630,GK
25798,ST
41236,ST
45186,LM
45186,RM
47201,GK
48745,CB
49000,GK
49472,GK
50542,ST
53914,CB
54050,CAM
54050,CDM
54050,CM
104389,GK
105846,GK
107298,GK
110381,LM
110381,LW
110381,ST
110677,GK
110974,GK
113045,ST
115909,ST
120533,CB
121134,GK
122849,ST
124375,ST
124635,CB
124635,CDM
125871,LB
132740,GK
134744,CDM
134744,CM
134779,ST
134820,CDM
135190,CAM
135190,CM
135507,CB
135507,CDM
136113,CB
137494,ST
137506,RW
137506,ST
138110,CB
138412,CM
138412,LB
138412,RB
138798,GK
138949,CB
138956,CB
139062,GK
139064,CB
139064,CDM
139068,LW
139068,RW
139313,LB
139668,GK
139799,ST
139860,CB
139860,LB
140067,CB
140082,GK
140233,GK
140293,GK
140498,GK
140620,CB
141286,CDM
141286,CM
142258,GK
142499,CDM
142707,ST
142754,CB
142754,CDM
142754,CM
142762,CB
142902,GK
142966,CAM
142966,CM
143001,CAM
143001,CF
143001,ST
143025,LB
143076,CAM
143076,CF
143076,ST
143121,CDM
143121,CM
143587,CAM
143587,CM
143598,GK
143699,RB
143745,CM
143745,LM
144172,GK
144200,LB
144200,LM
144429,LB
146111,CDM
146111,CM
146296,GK
146439,ST
146536,RB
146536,RM
146748,GK
146758,ST
146947,CM
146952,GK
146963,CB
146996,GK
147006,CAM
147006,LW
148119,GK
148526,GK
148803,ST
149184,RB
149185,CDM
149258,GK
150477,GK
150516,CAM
150516,RW
150516,ST
150724,GK
151508,CM
152567,CDM
152718,ST
152729,CB
152747,LM
152747,RM
152879,CDM
152879,CM
152908,LM
152908,RB
152908,RM
152912,ST
152916,CAM
152916,LM
152916,RM
152993,CB
152996,CDM
152996,CM
152997,ST
152999,CAM
152999,ST
153048,CAM
153048,CM
153079,ST
153177,CAM
153177,CF
153177,ST
153244,CF
153244,ST
153260,CB
153275,GK
154472,ST
154950,LB
154950,LM
155355,CAM
155355,CM
155355,RM
155862,CB
155871,GK
155887,CDM
155887,CM
155946,CM
155946,RM
156253,GK
156412,GK
156432,ST
156433,GK
156437,GK
156483,GK
156519,CM
156616,CF
156616,LM
156616,LW
156623,RM
156713,CB
157301,LW
157301,RW
157301,ST
157304,CB
157479,RB
157481,CB
157492,CAM
157665,CB
157960,CAM
157960,LM
158023,CF
158023,RW
158023,ST
158121,GK
158133,RM
158133,ST
158138,CAM
158138,CM
158144,CDM
158144,CM
158625,CB
158626,CB
158626,RB
158626,RWB
158777,GK
158800,CB
158856,CAM
158856,CDM
158856,CM
158942,RB
158942,RWB
158956,CB
158963,CDM
158963,CM
159145,ST
159175,CDM
159261,ST
159413,LM
159413,LW
159413,ST
160741,CB
161648,CAM
161648,CF
161648,ST
161663,GK
161754,CB
161754,CDM
161754,CM
161805,CDM
161805,CM
161956,CAM
161956,CDM
162131,ST
162220,GK
162221,CDM
162221,CM
162240,CAM
162240,CDM
162240,CM
162280,CAM
162280,CM
162280,RM
162297,GK
162328,GK
162329,CDM
162329,CM
162347,CM
162369,ST
162409,CAM
162409,ST
162835,GK
162895,CAM
162895,CDM
162895,CM
163050,ST
163083,CB
163155,GK
163186,CDM
163186,CM
163261,RB
163264,GK
163301,GK
163488,CB
163488,LB
163488,RB
163489,GK
163587,GK
163665,CB
163705,GK
163806,GK
163925,CAM
163925,RW
164082,LB
164082,RB
164240,CB
164376,ST
164459,CDM
164459,CM
164464,ST
164468,CB
164471,ST
164477,CDM
164477,CM
164484,GK
164505,GK
164835,GK
164859,RM
164878,CAM
164878,CF
164878,CM
164959,CB
164959,CDM
164994,RM
165109,CB
165153,CF
165153,ST
165229,CB
165247,GK
165429,ST
165517,CDM
165517,CM
165526,CB
165531,LM
165531,RM
165531,RW
165536,CB
165735,GK
165769,GK
166072,CB
166074,LM
166074,RM
166706,CB
167397,ST
167431,CM
167431,LB
167495,GK
167524,CB
167524,LB
167532,LB
167575,GK
167601,CB
167601,LB
167601,RB
167628,GK
167664,ST
167665,CB
167665,CDM
167665,CM
167669,CAM
167753,LM
167753,ST
167933,CDM
167933,CM
167948,GK
167959,GK
168354,GK
168435,GK
168530,CB
168542,CAM
168542,CM
168565,ST
168585,CB
168607,LB
168607,RB
168609,CB
168621,CM
168651,CM
169078,CAM
169078,LM
169115,CB
169181,GK
169195,CAM
169195,CM
169195,LM
169214,LM
169216,ST
169324,LB
169324,LWB
169345,LB
169345,LM
169345,LWB
169386,ST
169416,CAM
169416,LW
169416,RW
169426,CB
169426,RB
169426,RWB
169588,CB
169595,LB
169595,LWB
169697,GK
169705,LB
169706,CDM
169771,LW
169771,RM
169792,ST
170084,GK
170159,CB
170159,LB
170320,RB
170320,RM
170368,CAM
170368,RM
170369,CAM
170369,CF
170369,ST
170370,CDM
170370,CM
170597,GK
170664,CAM
170664,CM
170664,LM
170719,CAM
170733,LW
170733,RW
170797,CDM
170797,CM
170815,CDM
170815,CM
170890,CDM
170890,CM
170923,RB
171018,CDM
171018,CM
171378,RB
171579,CAM
171579,RW
171579,ST
171791,CB
171828,ST
171875,LB
171875,LM
171877,CAM
171877,CDM
171877,CM
171896,CB
171897,CDM
171897,CM
171897,LM
171972,CDM
171972,CM
171975,ST
172013,LB
172018,CB
172019,LM
172019,LW
172019,ST
172049,LW
172098,LB
172114,CAM
172114,ST
172143,CDM
172143,CM
172175,CAM
172175,LM
172198,GK
172203,GK
172233,CM
172287,CDM
172287,CM
172316,CB
172316,RB
172425,CB
172522,CM
172522,RB
172522,RM
172553,GK
172649,CAM
172649,LM
172649,RM
172672,LW
172672,RW
172685,CB
172685,LB
172685,RB
172723,GK
172786,CAM
172862,CB
